Age,Gender,Region,HouseholdIncomeUSD,Occupation,BuyFrequency,AvgSpendPerTripUSD,StyleKeywords,InspirationPlatforms,BuysPreloved,PrelovedMotives,PrelovedBarriers,SustainabilityImportance,QuizWillingness,LinkSocials,PayPremiumForStory,ShareOwnStory,SubscriptionInterest,MaxMonthlyFeeUSD,SwapPerks
18,Male,North America,5324,Professional,Quarterly,92,"Boho, Vintage, Streetwear",IRL friends,Yes,"Story value, Affordability","Sizing fit, Authenticity, Hygiene",1,Definitely,Maybe if anonymised,4,3,Very interested,40,"Easy returns, Stylist chat"
26,Male,Asia,12295,Professional,Rarely,139,"Casual, Vintage, Minimalist",YouTube,No,"Unique pieces, Brand access, Affordability",Authenticity,3,Definitely,Yes,3,2,Very interested,15,"Hygiene guarantee, Quality vetting, Easy returns, Loyalty points"
36,Female,Middle East,5842,Professional,Monthly,93,Minimalist,"Pinterest, IRL friends",Yes,"Brand access, Unique pieces","None, Authenticity",3,Maybe,Yes,4,3,Not interested,48,"Quality vetting, Loyalty points, Easy returns, Stylist chat"
23,Female,Asia,2729,Homemaker,Weekly,31,"Formal, Streetwear, Sporty","Blogs, TikTok, YouTube",No,"Affordability, Brand access",Shipping hassle,4,Maybe,Yes,5,3,Somewhat,55,Loyalty points
38,Female,North America,9539,Professional,Weekly,69,Casual,"TikTok, IRL friends, YouTube",Yes,"Story value, Unique pieces, Sustainability","Authenticity, Shipping hassle, Hygiene",4,Definitely,No,4,4,Neutral,39,"Loyalty points, Easy returns"
18,Male,Australia/NZ,4377,Professional,Quarterly,100,Streetwear,"Instagram, Pinterest",Yes,Brand access,Sizing fit,1,No,Maybe if anonymised,3,4,Not interested,12,Stylist chat
27,Female,Europe,9586,Other,Monthly,104,"Boho, Streetwear, Casual",TikTok,No,Story value,"Hygiene, Authenticity",3,Definitely,Maybe if anonymised,3,1,Not interested,57,"Easy returns, Hygiene guarantee"
27,Female,Europe,2808,Retail/Service,Monthly,129,"Casual, Streetwear, Vintage","Instagram, Blogs",Occasionally,Sustainability,"Sizing fit, Authenticity, Hygiene",4,Definitely,Yes,5,2,Very interested,65,"Loyalty points, Hygiene guarantee"
18,Male,Middle East,6789,Retail/Service,Quarterly,109,"Casual, Minimalist, Sporty",TikTok,No,Story value,Shipping hassle,4,Definitely,No,3,2,Somewhat,21,"Loyalty points, Hygiene guarantee, Easy returns, Quality vetting"
19,Non-binary,Europe,5545,Retail/Service,Monthly,87,"Boho, Minimalist","IRL friends, YouTube, TikTok",Yes,Sustainability,"Hygiene, Authenticity, None",4,Definitely,Yes,5,4,Neutral,52,"Easy returns, Stylist chat, Quality vetting, Loyalty points"
20,Female,Asia,11173,Student,Monthly,125,Sporty,"YouTube, Pinterest",Yes,Sustainability,"Shipping hassle, Authenticity, Sizing fit",2,Maybe,Yes,3,2,Somewhat,35,"Quality vetting, Easy returns, Loyalty points, Hygiene guarantee"
38,Male,North America,3853,Homemaker,Monthly,150,"Formal, Minimalist, Sporty","IRL friends, Instagram, YouTube",Occasionally,"Affordability, Sustainability","Hygiene, None",3,Maybe,No,5,4,Very interested,10,Loyalty points
32,Male,Middle East,10340,Professional,Weekly,10,"Minimalist, Boho, Sporty","TikTok, IRL friends, YouTube",No,"Affordability, Story value, Sustainability","Hygiene, Shipping hassle",3,No,Maybe if anonymised,5,5,Somewhat,62,Hygiene guarantee
26,Female,Europe,11489,Professional,Monthly,136,Formal,IRL friends,No,Unique pieces,"Hygiene, Sizing fit, None",4,Definitely,Yes,5,2,Somewhat,5,"Hygiene guarantee, Loyalty points, Quality vetting"
31,Male,North America,4940,Professional,Monthly,124,Boho,"Blogs, Instagram",Yes,"Story value, Sustainability, Brand access","Shipping hassle, Authenticity, None",3,Maybe,Maybe if anonymised,4,4,Very interested,49,"Loyalty points, Stylist chat"
41,Non-binary,Asia,1844,Professional,Rarely,92,"Vintage, Streetwear, Formal",Instagram,Yes,"Story value, Brand access",Shipping hassle,5,Maybe,Maybe if anonymised,4,3,Somewhat,24,"Quality vetting, Loyalty points"
18,Male,Asia,3306,Professional,Quarterly,95,"Vintage, Sporty",IRL friends,Yes,Story value,"Shipping hassle, Hygiene, Sizing fit",3,Maybe,Yes,5,4,Not interested,36,"Loyalty points, Easy returns"
27,Female,Asia,6222,Professional,Monthly,27,"Formal, Vintage, Casual",TikTok,No,"Unique pieces, Affordability, Story value","Hygiene, Authenticity",2,Definitely,Yes,1,2,Somewhat,13,Easy returns
34,Female,North America,2162,Student,Monthly,166,Vintage,"TikTok, IRL friends, Pinterest",Yes,Story value,Shipping hassle,5,Definitely,Maybe if anonymised,3,3,Neutral,19,Loyalty points
36,Male,Africa,5275,Professional,Monthly,82,"Vintage, Streetwear, Sporty","Instagram, YouTube",No,Sustainability,"Authenticity, Hygiene, Shipping hassle",2,Definitely,Maybe if anonymised,1,2,Not interested,42,"Loyalty points, Stylist chat"
20,Female,Middle East,7804,Professional,Quarterly,138,"Casual, Sporty","TikTok, YouTube",No,"Unique pieces, Affordability","Sizing fit, Hygiene, Authenticity",3,Maybe,Yes,2,1,Somewhat,69,"Easy returns, Stylist chat"
31,Male,North America,4145,Homemaker,Quarterly,10,Minimalist,"Pinterest, TikTok, YouTube",Yes,Brand access,"Authenticity, None, Shipping hassle",4,Definitely,Yes,4,2,Neutral,68,Quality vetting
35,Male,Europe,12745,Other,Weekly,182,"Casual, Sporty","Blogs, IRL friends, Instagram",Occasionally,"Story value, Brand access, Sustainability","Hygiene, Authenticity, Sizing fit",1,Definitely,Maybe if anonymised,4,3,Very interested,54,"Easy returns, Hygiene guarantee, Loyalty points"
40,Female,Europe,2967,Professional,Monthly,81,"Streetwear, Sporty",Pinterest,No,"Unique pieces, Story value","Shipping hassle, Authenticity, None",3,Maybe,No,4,4,Somewhat,34,"Stylist chat, Easy returns"
30,Male,Europe,7384,Professional,Monthly,68,"Boho, Vintage, Streetwear","TikTok, IRL friends",No,Sustainability,"Hygiene, None",3,Maybe,Maybe if anonymised,4,4,Somewhat,41,"Hygiene guarantee, Quality vetting"
24,Female,Middle East,6800,Student,Monthly,51,"Minimalist, Casual","Blogs, Instagram, IRL friends",Yes,"Affordability, Unique pieces",Authenticity,2,No,No,3,4,Not interested,5,"Easy returns, Loyalty points, Quality vetting, Stylist chat"
25,Female,North America,11220,Professional,Quarterly,132,"Boho, Minimalist, Casual",YouTube,Yes,"Sustainability, Affordability","Sizing fit, Hygiene",5,Definitely,Yes,4,5,Neutral,92,"Loyalty points, Quality vetting, Stylist chat, Easy returns"
20,Female,Asia,5091,Other,Weekly,67,Sporty,"IRL friends, Blogs, Instagram",Occasionally,"Affordability, Sustainability, Brand access","Shipping hassle, None, Authenticity",4,No,Yes,3,4,Somewhat,65,Easy returns
23,Male,Europe,5341,Professional,Monthly,123,Minimalist,"YouTube, IRL friends",Yes,"Affordability, Sustainability, Story value","Authenticity, Sizing fit",5,Maybe,Yes,3,4,Somewhat,24,"Loyalty points, Quality vetting"
28,Non-binary,North America,4626,Creative,Weekly,98,"Vintage, Formal","Instagram, TikTok",Yes,"Brand access, Affordability, Unique pieces","Authenticity, None",4,Maybe,No,5,5,Neutral,78,Easy returns
27,Male,Asia,4183,Professional,Monthly,10,Sporty,Blogs,Yes,Unique pieces,"None, Hygiene, Shipping hassle",5,Definitely,Maybe if anonymised,3,5,Neutral,35,"Quality vetting, Easy returns"
30,Female,North America,12936,Creative,Quarterly,64,"Boho, Minimalist, Vintage",IRL friends,Yes,Story value,"Shipping hassle, Hygiene, None",4,No,Maybe if anonymised,4,4,Somewhat,5,"Hygiene guarantee, Stylist chat, Easy returns, Quality vetting"
18,Female,North America,3865,Retail/Service,Monthly,10,"Minimalist, Sporty","YouTube, Instagram",Yes,"Story value, Unique pieces","Authenticity, Sizing fit",1,Maybe,No,3,1,Very interested,60,"Stylist chat, Quality vetting"
36,Female,North America,4814,Professional,Monthly,78,"Vintage, Minimalist, Casual",YouTube,Yes,"Brand access, Story value, Affordability",Authenticity,2,Definitely,No,3,3,Not interested,63,Loyalty points
26,Male,Asia,6691,Student,Monthly,31,Boho,Pinterest,Yes,Brand access,None,2,Definitely,Yes,3,1,Somewhat,34,"Stylist chat, Loyalty points"
19,Female,Australia/NZ,3910,Professional,Monthly,178,"Minimalist, Vintage","Blogs, TikTok",Occasionally,Brand access,"Hygiene, None",4,Maybe,Yes,3,2,Very interested,66,"Stylist chat, Loyalty points, Hygiene guarantee"
35,Male,Asia,11673,Homemaker,Monthly,231,"Boho, Formal, Vintage","TikTok, IRL friends, Pinterest",Yes,"Unique pieces, Sustainability, Story value",None,4,Definitely,No,2,2,Very interested,38,Hygiene guarantee
18,Male,North America,12153,Homemaker,Monthly,48,"Formal, Casual",Instagram,Yes,Brand access,"Shipping hassle, None, Sizing fit",3,Definitely,Yes,4,3,Somewhat,47,Hygiene guarantee
18,Female,Australia/NZ,7467,Other,Monthly,122,"Vintage, Boho",Blogs,Occasionally,"Sustainability, Brand access",Authenticity,5,Definitely,No,3,4,Neutral,5,Easy returns
38,Female,Asia,5426,Student,Weekly,10,"Vintage, Streetwear","Pinterest, TikTok, YouTube",Yes,"Sustainability, Story value",None,4,Maybe,Yes,4,3,Neutral,27,"Easy returns, Hygiene guarantee"
33,Male,Europe,10878,Creative,Quarterly,55,"Streetwear, Minimalist","TikTok, IRL friends, YouTube",Yes,Brand access,"Sizing fit, Hygiene",4,Maybe,Yes,4,4,Somewhat,70,"Quality vetting, Stylist chat, Loyalty points"
41,Male,Middle East,3413,Professional,Weekly,159,"Boho, Vintage",YouTube,Yes,Story value,"Hygiene, Sizing fit",4,Definitely,No,4,1,Neutral,24,"Loyalty points, Hygiene guarantee"
20,Female,North America,4197,Professional,Monthly,150,Vintage,"TikTok, IRL friends",Yes,"Brand access, Story value","None, Shipping hassle",4,Definitely,Yes,5,1,Neutral,56,"Easy returns, Loyalty points"
26,Female,Europe,6411,Professional,Quarterly,30,Minimalist,YouTube,No,"Brand access, Story value","Authenticity, Hygiene",4,No,Maybe if anonymised,3,2,Very interested,54,Loyalty points
23,Male,Asia,12277,Homemaker,Monthly,87,"Streetwear, Casual, Minimalist",Blogs,Yes,"Affordability, Story value, Brand access","Hygiene, None",3,Definitely,Yes,2,4,Very interested,41,"Stylist chat, Easy returns"
33,Female,North America,7773,Professional,Monthly,172,Boho,"Instagram, IRL friends",Yes,"Story value, Unique pieces, Affordability","Shipping hassle, Hygiene",4,Definitely,Yes,3,4,Neutral,12,"Quality vetting, Hygiene guarantee, Loyalty points"
18,Male,North America,4451,Other,Monthly,105,"Streetwear, Minimalist",YouTube,No,"Sustainability, Story value, Affordability","Sizing fit, None",5,No,Yes,1,3,Neutral,52,"Loyalty points, Hygiene guarantee, Easy returns"
18,Female,Asia,7064,Retail/Service,Rarely,106,"Vintage, Boho","Blogs, IRL friends, YouTube",No,Sustainability,"Authenticity, Hygiene",5,No,Yes,4,4,Somewhat,8,"Quality vetting, Stylist chat"
36,Female,North America,5267,Professional,Monthly,187,"Streetwear, Formal, Sporty","Blogs, Pinterest",Occasionally,"Brand access, Story value","None, Hygiene",2,Maybe,No,2,4,Neutral,49,"Loyalty points, Quality vetting, Hygiene guarantee"
22,Male,Other,8599,Creative,Monthly,170,"Streetwear, Casual, Boho","Pinterest, Instagram",Occasionally,"Sustainability, Unique pieces","Hygiene, None, Shipping hassle",4,Maybe,Yes,4,2,Somewhat,52,"Stylist chat, Easy returns, Quality vetting, Loyalty points"
27,Female,Europe,3695,Student,Rarely,163,Formal,"Pinterest, TikTok, IRL friends",Occasionally,Affordability,"Hygiene, Sizing fit, Authenticity",1,Definitely,Maybe if anonymised,4,4,Very interested,87,"Loyalty points, Quality vetting, Stylist chat, Easy returns"
25,Male,Europe,6776,Professional,Rarely,69,"Vintage, Sporty",TikTok,No,Brand access,"None, Sizing fit, Shipping hassle",5,Definitely,Maybe if anonymised,4,5,Very interested,41,"Loyalty points, Stylist chat, Easy returns"
38,Female,Europe,7241,Other,Monthly,136,Minimalist,"IRL friends, Pinterest, Blogs",No,"Sustainability, Brand access, Story value","Shipping hassle, Sizing fit, Authenticity",2,Maybe,Yes,3,4,Somewhat,63,"Loyalty points, Easy returns, Hygiene guarantee"
25,Male,North America,6087,Retail/Service,Monthly,119,"Formal, Vintage, Streetwear","Blogs, Instagram, IRL friends",Occasionally,"Sustainability, Unique pieces",None,2,No,Maybe if anonymised,4,3,Somewhat,87,"Easy returns, Stylist chat, Loyalty points"
19,Female,Other,4378,Professional,Weekly,118,"Boho, Vintage, Streetwear","Blogs, IRL friends",Yes,"Sustainability, Unique pieces, Brand access","Authenticity, Sizing fit",2,Definitely,Yes,3,3,Somewhat,47,"Loyalty points, Quality vetting, Easy returns"
20,Female,Europe,4543,Creative,Quarterly,197,"Formal, Boho, Sporty","IRL friends, Blogs, Pinterest",Occasionally,"Brand access, Affordability, Story value","Authenticity, Hygiene, Shipping hassle",3,Definitely,Maybe if anonymised,2,4,Somewhat,74,"Hygiene guarantee, Stylist chat, Easy returns"
18,Male,Asia,4494,Professional,Quarterly,174,"Streetwear, Casual",IRL friends,No,"Unique pieces, Affordability","Shipping hassle, Hygiene",3,Maybe,No,3,5,Not interested,58,"Stylist chat, Easy returns"
27,Male,Europe,7748,Professional,Monthly,237,"Vintage, Streetwear, Sporty",TikTok,Occasionally,"Affordability, Brand access","Sizing fit, Shipping hassle",3,Definitely,Maybe if anonymised,3,4,Very interested,70,"Easy returns, Loyalty points"
26,Male,Europe,9832,Retail/Service,Weekly,179,"Vintage, Streetwear, Minimalist","YouTube, Instagram, TikTok",Yes,Unique pieces,"Hygiene, None, Shipping hassle",2,Definitely,Maybe if anonymised,4,3,Neutral,7,"Loyalty points, Stylist chat"
22,Female,North America,12801,Professional,Monthly,150,"Minimalist, Formal",Instagram,No,"Story value, Affordability, Sustainability","Authenticity, Shipping hassle",4,Definitely,Maybe if anonymised,4,5,Somewhat,47,"Loyalty points, Easy returns, Hygiene guarantee"
20,Female,Middle East,1729,Professional,Weekly,53,"Sporty, Casual",YouTube,Yes,Sustainability,"Authenticity, None",4,No,Maybe if anonymised,3,3,Very interested,54,"Hygiene guarantee, Easy returns, Loyalty points, Quality vetting"
41,Female,Middle East,9611,Creative,Monthly,124,Vintage,IRL friends,Occasionally,"Brand access, Sustainability",Sizing fit,1,No,Maybe if anonymised,1,3,Neutral,54,"Quality vetting, Hygiene guarantee, Easy returns, Stylist chat"
31,Female,North America,7608,Professional,Monthly,126,"Vintage, Streetwear",TikTok,Yes,"Affordability, Unique pieces, Sustainability","Sizing fit, Shipping hassle",5,Maybe,Maybe if anonymised,5,3,Neutral,45,"Easy returns, Quality vetting, Loyalty points"
22,Male,Middle East,7514,Retail/Service,Weekly,107,"Casual, Streetwear, Minimalist","Instagram, Pinterest, IRL friends",Occasionally,Affordability,None,4,Definitely,Yes,5,4,Very interested,84,"Easy returns, Quality vetting, Hygiene guarantee"
20,Male,Asia,2614,Student,Weekly,82,"Formal, Sporty, Streetwear","TikTok, IRL friends",Yes,"Unique pieces, Affordability",Hygiene,1,Definitely,Maybe if anonymised,3,4,Somewhat,10,"Loyalty points, Quality vetting"
18,Male,Africa,12344,Professional,Quarterly,148,"Minimalist, Vintage, Streetwear","YouTube, IRL friends",Occasionally,"Brand access, Sustainability","Hygiene, Shipping hassle",2,Definitely,Yes,3,5,Very interested,12,"Easy returns, Hygiene guarantee, Quality vetting"
31,Female,Africa,5757,Other,Quarterly,190,"Minimalist, Vintage","TikTok, IRL friends, Instagram",No,Sustainability,"Authenticity, Hygiene",4,No,Yes,3,3,Neutral,46,Quality vetting
37,Male,Europe,13132,Student,Weekly,46,"Sporty, Casual, Boho",TikTok,No,"Sustainability, Unique pieces","None, Authenticity",4,Definitely,Maybe if anonymised,4,1,Somewhat,55,Easy returns
31,Female,Australia/NZ,11711,Student,Monthly,185,"Streetwear, Vintage","IRL friends, Blogs, Instagram",Occasionally,"Story value, Affordability, Unique pieces","None, Shipping hassle, Sizing fit",4,Maybe,Maybe if anonymised,3,1,Very interested,13,"Hygiene guarantee, Quality vetting, Loyalty points"
32,Male,Other,4758,Professional,Monthly,43,"Streetwear, Casual, Formal","Instagram, Blogs",Yes,"Sustainability, Story value","None, Authenticity, Sizing fit",1,Definitely,No,1,4,Not interested,77,"Stylist chat, Easy returns, Loyalty points, Hygiene guarantee"
39,Male,Asia,6560,Retail/Service,Quarterly,23,Casual,TikTok,Yes,"Affordability, Sustainability, Brand access","None, Hygiene, Authenticity",2,Definitely,No,2,5,Very interested,84,"Quality vetting, Loyalty points, Hygiene guarantee"
33,Male,Asia,3900,Homemaker,Quarterly,130,"Minimalist, Vintage","IRL friends, Pinterest, YouTube",Yes,"Unique pieces, Affordability",Hygiene,4,Maybe,Maybe if anonymised,2,5,Neutral,37,"Loyalty points, Quality vetting"
41,Female,Europe,3283,Professional,Rarely,79,"Boho, Casual, Formal",TikTok,Occasionally,Unique pieces,"Sizing fit, Hygiene",5,Maybe,Yes,4,3,Somewhat,90,"Quality vetting, Loyalty points, Easy returns"
34,Male,Africa,18403,Creative,Monthly,128,"Vintage, Streetwear","TikTok, YouTube",Yes,Brand access,Shipping hassle,3,Definitely,Yes,5,3,Somewhat,60,Hygiene guarantee
18,Male,Europe,5491,Creative,Quarterly,54,"Sporty, Boho, Vintage",IRL friends,Occasionally,Affordability,"Authenticity, Sizing fit",1,Definitely,Maybe if anonymised,4,3,Very interested,22,"Hygiene guarantee, Loyalty points"
32,Female,North America,3095,Retail/Service,Quarterly,120,Streetwear,IRL friends,Occasionally,"Story value, Affordability","Authenticity, Sizing fit",5,Definitely,Yes,4,4,Neutral,49,"Easy returns, Loyalty points, Stylist chat"
33,Female,Europe,9305,Student,Weekly,74,"Casual, Vintage, Sporty",IRL friends,Occasionally,"Sustainability, Brand access, Unique pieces","Authenticity, Sizing fit, Shipping hassle",5,Maybe,Yes,5,3,Neutral,23,"Loyalty points, Hygiene guarantee, Easy returns"
25,Female,Asia,8698,Creative,Quarterly,19,"Boho, Casual",Instagram,Yes,"Brand access, Affordability","Hygiene, Shipping hassle, None",3,Definitely,Maybe if anonymised,4,3,Somewhat,9,Hygiene guarantee
24,Female,Middle East,5456,Other,Rarely,48,"Casual, Vintage, Streetwear","Pinterest, YouTube",Yes,Sustainability,"Hygiene, Authenticity",2,No,No,4,4,Neutral,29,"Loyalty points, Stylist chat, Hygiene guarantee, Quality vetting"
27,Male,North America,6515,Retail/Service,Rarely,201,"Boho, Casual, Sporty","Instagram, YouTube, Pinterest",No,Unique pieces,"Authenticity, Shipping hassle, None",5,Maybe,Maybe if anonymised,2,4,Somewhat,43,"Quality vetting, Hygiene guarantee, Loyalty points"
18,Female,Asia,2964,Professional,Monthly,109,Vintage,Blogs,Occasionally,Unique pieces,"Sizing fit, Shipping hassle, Authenticity",3,Definitely,Yes,3,2,Neutral,45,"Loyalty points, Easy returns"
35,Female,Europe,7335,Professional,Monthly,219,Formal,"Blogs, Instagram",Yes,Unique pieces,"Sizing fit, Authenticity",3,Definitely,Maybe if anonymised,5,4,Very interested,5,"Quality vetting, Stylist chat"
20,Male,North America,8204,Professional,Rarely,167,Streetwear,"Instagram, Pinterest",Yes,Sustainability,"None, Authenticity, Sizing fit",4,Definitely,Yes,1,4,Not interested,64,"Stylist chat, Easy returns"
28,Male,Middle East,9841,Student,Weekly,85,Boho,TikTok,No,"Affordability, Story value",None,3,No,Yes,1,4,Neutral,30,Loyalty points
38,Female,North America,10076,Student,Quarterly,151,"Vintage, Streetwear","Blogs, Instagram, TikTok",No,"Affordability, Unique pieces, Story value","None, Sizing fit, Hygiene",3,No,Maybe if anonymised,5,2,Somewhat,37,Stylist chat
28,Female,Africa,6796,Other,Monthly,165,Casual,"TikTok, YouTube",No,"Affordability, Story value, Unique pieces","None, Hygiene, Shipping hassle",3,Definitely,Yes,1,4,Neutral,43,"Easy returns, Stylist chat"
24,Male,Middle East,11431,Student,Monthly,17,"Formal, Boho","Blogs, Pinterest",Occasionally,"Sustainability, Unique pieces","Shipping hassle, Authenticity, None",4,Maybe,Yes,3,4,Very interested,50,"Stylist chat, Quality vetting"
29,Female,Australia/NZ,8611,Professional,Monthly,159,Minimalist,"TikTok, Instagram, IRL friends",Occasionally,"Unique pieces, Affordability, Brand access","Authenticity, Sizing fit",5,Definitely,Maybe if anonymised,1,4,Very interested,42,"Stylist chat, Easy returns"
36,Female,Europe,5122,Other,Monthly,19,Streetwear,Blogs,Yes,"Story value, Sustainability, Unique pieces",Hygiene,1,Definitely,Maybe if anonymised,3,4,Neutral,31,"Stylist chat, Loyalty points"
47,Male,Middle East,5900,Professional,Monthly,10,"Streetwear, Boho, Formal",YouTube,Yes,Affordability,"None, Sizing fit",3,Maybe,Maybe if anonymised,4,1,Neutral,63,"Hygiene guarantee, Quality vetting, Stylist chat"
26,Female,North America,2911,Student,Monthly,120,"Minimalist, Sporty","IRL friends, TikTok, Blogs",No,"Sustainability, Story value",None,4,Maybe,Yes,4,2,Somewhat,41,Easy returns
36,Female,Asia,4131,Student,Monthly,153,"Vintage, Minimalist, Formal",Blogs,Yes,"Brand access, Story value","None, Shipping hassle, Authenticity",2,Maybe,Yes,3,4,Somewhat,69,"Easy returns, Quality vetting"
18,Male,Asia,12302,Creative,Monthly,136,"Formal, Minimalist","YouTube, Pinterest, Instagram",No,"Sustainability, Story value, Unique pieces",None,2,No,Yes,1,5,Very interested,60,"Quality vetting, Loyalty points, Hygiene guarantee"
32,Male,Middle East,12014,Professional,Rarely,41,"Boho, Minimalist, Streetwear","Instagram, YouTube",Yes,"Story value, Affordability","Hygiene, Shipping hassle",3,Definitely,Maybe if anonymised,4,1,Neutral,41,"Stylist chat, Hygiene guarantee"
18,Male,North America,13539,Professional,Monthly,127,"Casual, Minimalist",TikTok,No,"Story value, Affordability",Sizing fit,3,Definitely,Yes,1,5,Somewhat,41,Stylist chat
37,Female,North America,6026,Professional,Weekly,50,"Sporty, Streetwear","Blogs, Instagram",No,Brand access,"None, Sizing fit",5,Maybe,Maybe if anonymised,5,1,Very interested,26,"Loyalty points, Quality vetting"
24,Male,Asia,4944,Student,Quarterly,92,"Minimalist, Casual, Vintage",TikTok,Yes,Affordability,"Shipping hassle, None, Hygiene",1,Definitely,No,2,3,Very interested,72,"Hygiene guarantee, Stylist chat, Easy returns"
18,Female,Asia,18231,Professional,Monthly,243,"Vintage, Streetwear, Boho","Instagram, TikTok, IRL friends",No,"Brand access, Sustainability","None, Shipping hassle, Hygiene",4,Definitely,Maybe if anonymised,2,4,Neutral,32,"Hygiene guarantee, Stylist chat"
39,Female,Europe,2514,Professional,Monthly,145,Boho,Blogs,Yes,Brand access,"Hygiene, None",2,Definitely,Yes,3,4,Neutral,75,"Loyalty points, Easy returns, Hygiene guarantee"
22,Non-binary,Other,5087,Professional,Quarterly,158,Boho,"Instagram, IRL friends, TikTok",Yes,"Unique pieces, Affordability, Sustainability","Authenticity, Sizing fit",5,No,Yes,3,4,Neutral,45,"Loyalty points, Stylist chat, Easy returns, Hygiene guarantee"
30,Female,Europe,4546,Student,Monthly,101,"Casual, Boho, Formal",IRL friends,Yes,"Affordability, Story value, Unique pieces","Authenticity, Hygiene",5,Maybe,Maybe if anonymised,3,3,Somewhat,85,"Quality vetting, Loyalty points, Stylist chat, Hygiene guarantee"
22,Non-binary,Middle East,5540,Student,Monthly,239,"Minimalist, Boho, Sporty","Pinterest, YouTube, TikTok",No,Sustainability,Hygiene,1,Maybe,Yes,3,2,Very interested,64,"Easy returns, Stylist chat"
22,Female,Europe,7092,Professional,Monthly,164,"Boho, Minimalist, Casual","Instagram, YouTube, Blogs",Occasionally,Brand access,"Hygiene, Shipping hassle, Sizing fit",1,Maybe,Maybe if anonymised,4,3,Not interested,114,"Quality vetting, Stylist chat, Loyalty points"
30,Female,Europe,3684,Retail/Service,Monthly,20,"Minimalist, Boho, Vintage","YouTube, Instagram, IRL friends",No,"Brand access, Unique pieces","Sizing fit, Shipping hassle, None",4,No,Maybe if anonymised,4,2,Not interested,55,"Quality vetting, Hygiene guarantee"
30,Male,Europe,4246,Retail/Service,Weekly,88,Casual,"IRL friends, Instagram, TikTok",No,"Brand access, Unique pieces","Sizing fit, None, Shipping hassle",5,Definitely,Yes,1,4,Neutral,60,"Quality vetting, Stylist chat, Hygiene guarantee"
31,Male,Asia,5148,Professional,Quarterly,105,"Boho, Streetwear","Blogs, IRL friends",No,"Affordability, Sustainability",Authenticity,2,Maybe,No,3,5,Somewhat,77,"Stylist chat, Loyalty points, Quality vetting, Hygiene guarantee"
27,Female,Asia,16880,Professional,Quarterly,90,"Streetwear, Casual, Boho",IRL friends,No,Unique pieces,"Hygiene, Sizing fit, Authenticity",4,Definitely,Yes,4,3,Very interested,47,Hygiene guarantee
30,Female,Australia/NZ,15265,Creative,Monthly,170,Vintage,Instagram,No,Unique pieces,"Shipping hassle, None",4,Maybe,Maybe if anonymised,4,4,Somewhat,16,Easy returns
27,Male,North America,6698,Retail/Service,Rarely,55,Minimalist,"Blogs, YouTube, Instagram",No,Sustainability,"None, Sizing fit",3,Definitely,Maybe if anonymised,5,3,Neutral,5,"Hygiene guarantee, Stylist chat, Loyalty points"
18,Non-binary,North America,6184,Professional,Monthly,85,"Minimalist, Sporty, Casual",Pinterest,Occasionally,"Brand access, Affordability, Story value","Authenticity, Sizing fit",5,Maybe,No,4,1,Somewhat,20,"Loyalty points, Quality vetting, Easy returns, Stylist chat"
18,Female,North America,5501,Creative,Quarterly,186,Streetwear,"Instagram, TikTok, IRL friends",Yes,"Brand access, Story value, Sustainability","Shipping hassle, Hygiene, Authenticity",4,Maybe,No,3,4,Very interested,45,"Quality vetting, Loyalty points"
25,Female,North America,3991,Student,Rarely,10,Casual,Pinterest,Occasionally,"Brand access, Unique pieces","None, Authenticity",4,Definitely,Yes,5,4,Very interested,61,"Easy returns, Hygiene guarantee, Loyalty points"
42,Male,Europe,3430,Creative,Quarterly,152,"Formal, Sporty","Pinterest, IRL friends",Occasionally,"Story value, Sustainability","Sizing fit, None, Hygiene",3,Definitely,Yes,5,2,Neutral,55,"Loyalty points, Hygiene guarantee, Stylist chat, Quality vetting"
26,Male,Asia,3584,Creative,Quarterly,89,"Minimalist, Streetwear",Pinterest,No,"Story value, Affordability","Shipping hassle, Sizing fit, Hygiene",4,Maybe,No,4,5,Very interested,15,Hygiene guarantee
24,Male,Europe,4449,Student,Quarterly,57,"Vintage, Streetwear","Blogs, Pinterest",No,"Unique pieces, Affordability","Sizing fit, Authenticity, None",4,Definitely,Yes,2,2,Somewhat,52,"Loyalty points, Easy returns, Hygiene guarantee, Stylist chat"
45,Male,Middle East,6748,Professional,Monthly,55,"Sporty, Streetwear","YouTube, Pinterest, Blogs",Yes,Sustainability,"Shipping hassle, Authenticity, Hygiene",3,Definitely,Maybe if anonymised,4,2,Very interested,60,"Quality vetting, Easy returns, Loyalty points, Hygiene guarantee"
28,Female,North America,4865,Other,Monthly,123,"Formal, Minimalist, Sporty",Instagram,Yes,"Brand access, Unique pieces, Affordability","Authenticity, Shipping hassle",2,Definitely,Yes,5,3,Somewhat,16,"Stylist chat, Loyalty points, Quality vetting, Easy returns"
35,Female,Europe,3994,Professional,Monthly,114,"Vintage, Boho, Minimalist","TikTok, IRL friends, YouTube",Occasionally,"Unique pieces, Affordability, Story value","None, Authenticity",4,Maybe,Yes,4,4,Somewhat,69,"Easy returns, Hygiene guarantee"
28,Female,Middle East,11015,Student,Quarterly,258,"Sporty, Casual",Blogs,Yes,Story value,"Sizing fit, Shipping hassle",4,No,No,4,3,Not interested,67,Stylist chat
